
=== RESULTS WITH 'INFORMATION' INTENT ===
   id    |                                   title                                   |                                                                                                                                                 content_snippet                                                                                                                                                 |    similarity     |    match_type    
---------+---------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------+------------------
 mceitnr | ISO other fellow millennial DINKs?                                        | Go to dog parks in the evening? If your dog is small, [https://www.yelp.com/biz/san-francisco-small-dog-beach-walk-san-francisco](https://www.yelp.com/biz/san-francisco-small-dog-beach-walk-san-francisco)                                                                                                    | 0.911894109280687 | basic
 md7f4f1 | Places to study AND avoid home?                                           | There are free museums and free garden days. Goldman Tennis Center is nice inside, and the library—although some are better than others—Ferry Plaza, hotel lobbies (just pretend you're a guest), the mall, and Metreon have some quiet spots. Salesforce Park is also nice and has an Andytown. The Columba... |  0.89723850521588 | basic
 mdclmbr | Places to study AND avoid home?                                           | The privately owned public open spaces are great! There are a few that are indoors, too. I also love sitting in the Yerba Buena Gardens and Salesforce Park.                                                                                                                                                    | 0.858460638890139 | basic
 md6wwft | Places to study AND avoid home?                                           |                                                                                                                                                                                                                                                                                                                +| 0.850814121864597 | basic
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | The lobby at the Hyatt Regency at Embarcadero is great. I've worked there for 3+ hours. Just dress and act like you belong there.                                                                                                                                                                              +|                   | 
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | Nearby - there are public tables in the Ferry Building in front of Cholita Linda. If the weather is nice, there are lovely tables with umbrellas out back.                                                                                                                                                     +|                   | 
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | If you wan...                                                                                                                                                                                                                                                                                                   |                   | 
 mdavb53 | Places to study AND avoid home?                                           | If you/you're family are low income (e.g. SNAP/EBT card, Medi-Cal, etc) SF MoMA and other 'big' museums are free. There's some some great spots to read a book. They all have SF free days for residents/students, but those tend to be busier days, naturally.                                                +| 0.840427347319782 | basic
         |                                                                           |                                                                                                                                                                                                                                                                                                                +|                   | 
         |                                                                           | I second the 'POPS' suggests. In SOMA/FiDi...                                                                                                                                                                                                                                                                   |                   | 
 mcem9zj | ISO other fellow millennial DINKs?                                        | All my friends who don’t have kids go out to shows / nightlife / clubs.  May not be your every week activity but it’s a great way to run into other people in your boat.                                                                                                                                       +| 0.823536935971885 | location_boosted
         |                                                                           | Volunteering was also mentioned, and it’s a great one. If you are into the outdoors Sutro Stewards is awesome, and a lot of socia...                                                                                                                                                                            |                   | 
